"Категорія","Підкатегорія","Назва","Ціна"
"Сукно","Для піраміди і пула","Сукно Mirtex King 760","1300"
"Сукно","Для піраміди і пула","Сукно Simonetto 920","1050"
"Сукно","Для піраміди і пула","Сукно Eurosprint 45 (Yellow Green)","2260"
"Сукно","Для піраміди і пула","Сукно Hainsworth Elit-pro (Royal Blue)","1355"
"Сукно","Для піраміди і пула","Сукно Mirtex Spirit","1000"
"Сукно","Для піраміди і пула","Сукно Simonis-760 (Yellow Green)","4000"
"Сукно","Для піраміди і пула","Сукно зелене Champion 800 (Green)","1830"
"Сукно","Для піраміди і пула","Сукно Синє Simonetto 920 (Royal Blue)","1090"
"Сукно","Для піраміди","Сукно Mirtex King 760","1300"
"Сукно","Для піраміди","Сукно Simonetto 920","1050"
"Сукно","Для піраміди","Сукно Eurosprint 45 (Burgundi)","2600"
"Сукно","Для піраміди","Сукно Eurosprint 45 (Yellow Green)","2260"
"Сукно","Для піраміди","Сукно Hainsworth Elit-pro (Royal Blue)","1355"
"Сукно","Для піраміди","Сукно Mirtex Spirit","1000"
"Сукно","Для піраміди","Сукно Simonis-760 (Yellow Green)","4000"
"Сукно","Для піраміди","Сукно зелене Champion 800 (Green)","1830"
"Сукно","Для піраміди","Сукно Синє Simonetto 920 (Royal Blue)","1090"
"Сукно","Для піраміди","Сукно Hainsworth Elit-pro (English Green)","1510"
"Сукно","Для снукеру","Сукно Champion Snooker (Yellow Green)","2910"
"Сукно","Для снукеру","Сукно Hainsworth Match Snooker (Olive)","3480"
