"Категорія","Підкатегорія","Модель","Ціна"
"Більярдні столи","Американський пул","Гудвин","17000"
"Більярдні столи","Американський пул","Гудвин","18400"
"Більярдні столи","Американський пул","Гудвин","19000"
"Більярдні столи","Американський пул","Гудвин","20000"
"Більярдні столи","Американський пул","Корнет","19600"
"Більярдні столи","Американський пул","Корнет","19700"
"Більярдні столи","Американський пул","Корнет","19900"
"Більярдні столи","Американський пул","Корнет","22700"
"Більярдні столи","Американський пул","Корван","35500"
"Більярдні столи","Американський пул","Мрия Нова","24300"
"Більярдні столи","Американський пул","Мрия Нова","24400"
"Більярдні столи","Американський пул","Мрия Нова","25100"
"Більярдні столи","Американський пул","Мрия Нова","28500"
"Більярдні столи","Американський пул","Мрия Нова Люкс","59500"
"Більярдні столи","Американський пул","Мрия Нова Люкс","60300"
"Більярдні столи","Американський пул","Мрия Нова Люкс","74900"
"Більярдні столи","Американський пул","Магнат","22900"
"Більярдні столи","Американський пул","Магнат","23100"
"Більярдні столи","Американський пул","Магнат","23900"
"Більярдні столи","Американський пул","Магнат","27200"
"Більярдні столи","Американський пул","Магнат Люкс","60500"
"Більярдні столи","Американський пул","Магнат Люкс","61300"
"Більярдні столи","Американський пул","Магнат Люкс","75900"
"Більярдні столи","Американський пул","Техас","52000"
"Більярдні столи","Американський пул","Техас","55000"
"Більярдні столи","Американський пул","Техас","58000"
"Більярдні столи","Американський пул","Леон","57000"
"Більярдні столи","Американський пул","Леон","62000"
"Більярдні столи","Американський пул","Леон","68000"
"Більярдні столи","Американський пул","Аризона","48500"
"Більярдні столи","Американський пул","Аризона","52500"
"Більярдні столи","Американський пул","Аризона","56000"
"Більярдні столи","Американський пул","Неаполь","55000"
"Більярдні столи","Американський пул","Неаполь","57500"
"Більярдні столи","Американський пул","Неаполь","62000"
"Більярдні столи","Американський пул","Эльдорадо","49000"
"Більярдні столи","Американський пул","Эльдорадо","52700"
"Більярдні столи","Американський пул","Партнер","0"
"Більярдні столи","Американський пул","Партнер","0"
"Більярдні столи","Американський пул","Партнер","0"
