"Категорія","Підкатегорія","Назва","Ціна"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Kids","3500"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Junior","7700"
"Тенісні столи","Тенісні столи для приміщень",""Standart Active" М16","9600"
"Тенісні столи","Тенісні столи для приміщень",""Standart Active" М19","10500"
"Тенісні столи","Тенісні столи для приміщень",""Standart" М16","9000"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Basic Sport M16","11000"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Basic Sport M19","11500"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Home Sport M16","11800"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Home Sport M19","12400"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Master Sport M16","12500"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Master Sport M19","13200"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Master Sport M25","23000"
"Тенісні столи","Тенісні столи для приміщень",""Фенікс" Start M16","7200"
